zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
86440,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
85360,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86411,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86446,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86429,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86427,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86426,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86322,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86046,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86409,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86401,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86404,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86436,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86437,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
86434,21538,"Mohave Electric Cooperative, I",AZ,Bundled,Cooperative,0.09661177163540326,0.07839802729475788,0.10733716607544581
70470,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70448,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70449,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70442,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70443,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
